ENSEMBL,Type,Annotation
ENSMUSG00000031805,SYMBOL,Jak3
ENSMUSG00000031805,GENENAME,Janus kinase 3
ENSMUSG00000033909,SYMBOL,Usp36
ENSMUSG00000033909,GENENAME,ubiquitin specific peptidase 36
ENSMUSG00000065524,SYMBOL,Mir135a-2
ENSMUSG00000065524,GENENAME,microRNA 135a-2
ENSMUSG00000030374,SYMBOL,Strn4
ENSMUSG00000030374,GENENAME,"striatin, calmodulin binding protein 4"
ENSMUSG00000098547,SYMBOL,Mir6921
ENSMUSG00000098547,GENENAME,microRNA 6921
ENSMUSG00000035629,SYMBOL,Rubcn
ENSMUSG00000035629,GENENAME,"RUN domain and cysteine-rich domain containing, Beclin 1-interacting protein"
ENSMUSG00000094053,SYMBOL,Scgb2b7
ENSMUSG00000094053,GENENAME,"secretoglobin, family 2B, member 7"
ENSMUSG00000055491,SYMBOL,Pprc1
ENSMUSG00000055491,GENENAME,"peroxisome proliferative activated receptor, gamma, coactivator-related 1"
ENSMUSG00000053080,SYMBOL,Zfta
ENSMUSG00000053080,GENENAME,zinc finger translocation associated
ENSMUSG00000039715,SYMBOL,Dync2i2
ENSMUSG00000039715,GENENAME,dynein 2 intermediate chain 2
ENSMUSG00000033475,SYMBOL,Tomm6
ENSMUSG00000033475,GENENAME,translocase of outer mitochondrial membrane 6
ENSMUSG00000026283,SYMBOL,Ing5
ENSMUSG00000026283,GENENAME,"inhibitor of growth family, member 5"
ENSMUSG00000037331,SYMBOL,Larp1
ENSMUSG00000037331,GENENAME,"La ribonucleoprotein 1, translational regulator"
ENSMUSG00000074489,SYMBOL,Bglap3
ENSMUSG00000074489,GENENAME,bone gamma-carboxyglutamate protein 3
ENSMUSG00000038246,SYMBOL,Fam50b
ENSMUSG00000038246,GENENAME,"family with sequence similarity 50, member B"
ENSMUSG00000066189,SYMBOL,Cacng3
ENSMUSG00000066189,GENENAME,"calcium channel, voltage-dependent, gamma subunit 3"
ENSMUSG00000005611,SYMBOL,Irag1
ENSMUSG00000005611,GENENAME,"inositol 1,4,5-triphosphate receptor associated 1"
ENSMUSG00000064299,SYMBOL,4921528I07Rik
ENSMUSG00000064299,GENENAME,RIKEN cDNA 4921528I07 gene
ENSMUSG00000028174,SYMBOL,Rpe65
ENSMUSG00000028174,GENENAME,retinal pigment epithelium 65
ENSMUSG00000024902,SYMBOL,Mrpl11
ENSMUSG00000024902,GENENAME,mitochondrial ribosomal protein L11
