gene_id,characteristics
GSM1480291,mammary gland;luminal cells;virgin
GSM1480292,mammary gland;luminal cells;virgin
GSM1480293,mammary gland;luminal cells;18.5 day pregnancy
GSM1480294,mammary gland;luminal cells;18.5 day pregnancy
GSM1480295,mammary gland;luminal cells;2 day lactation
GSM1480296,mammary gland;luminal cells;2 day lactation
GSM1480297,mammary gland;basal cells;virgin
GSM1480298,mammary gland;basal cells;virgin
GSM1480299,mammary gland;basal cells;18.5 day pregnancy
GSM1480300,mammary gland;basal cells;18.5 day pregnancy
GSM1480301,mammary gland;basal cells;2 day lactation
GSM1480302,mammary gland;basal cells;2 day lactation
